bar,run_start,run_stop,attenuation_length,attenuation_length_error,gain_ratio,gain_ratio_error
21,4333,4505,86.909236,0.45482262,1.1275583,0.003619133
21,4506,4577,86.768721,0.24847599,1.1647307,0.0020447127
21,4578,4600,87.469145,0.98048596,1.143406,0.0077014889
21,4601,5000,86.956929,0.45286115,1.1542189,0.0036816176
22,2001,2357,100.70553,1.4273655,1.0241258,0.0075194902
22,2358,2394,100.36168,0.76998524,1.0140164,0.0041012979
22,2395,2633,100.35878,0.72604106,1.0213163,0.0038674204
22,2634,2653,100.49528,0.37845361,1.0355606,0.0020436673
22,2654,2829,100.95946,0.53033163,1.0503922,0.0028662634
22,2830,3500,101.12355,0.81974242,1.0325606,0.0043537752
22,3501,4046,97.941323,1.4867864,1.0818958,0.0089091678
22,4047,4075,93.958737,0.69056441,1.0343229,0.0043343108
22,4076,4117,94.669083,0.70165863,1.0642555,0.0044793454
22,4118,4201,95.04846,0.56445981,1.0491264,0.0034198687
22,4202,4332,93.006405,0.41649694,1.0584388,0.0027277277
22,4333,4577,92.530126,0.44690563,1.026878,0.0028619013
22,4578,5000,93.025888,0.50083448,1.0230592,0.0031586102
23,2001,2289,102.43998,2.1880634,1.0236153,0.011227964
23,2290,2310,101.57265,0.46264803,1.0456601,0.0025306258
23,2311,2716,102.14304,0.86929329,1.0456838,0.0045896662
23,2717,2830,102.37885,0.66771506,1.0616354,0.0035567363
23,2831,3500,102.69269,0.94992495,1.035424,0.0048753923
23,3501,4075,97.168347,1.0956421,1.0006476,0.0059949241
23,4076,4114,97.044988,0.83484742,1.0363267,0.004941982
23,4115,4198,97.777332,0.66035699,1.0242695,0.0037781456
23,4199,4225,96.172637,0.70810975,1.1257549,0.0046062746
23,4226,4255,96.03775,0.4936698,1.1099941,0.0031479164
23,4256,4292,96.057988,0.49653666,1.1388392,0.0032906563
23,4293,4332,96.062368,0.49633203,1.1236682,0.0032361999
23,4333,4556,95.727462,0.55180569,1.0732175,0.0034552225
23,4557,4604,95.744375,0.60166866,1.0990315,0.0038702074
23,4605,4642,95.583934,0.55884508,1.1243429,0.0037088668
23,4643,5000,95.642507,0.59857295,1.1037472,0.0039088846
24,2001,3500,104.55736,0.88811566,1.0465216,0.0045121026
24,3501,4054,81.325942,1.2511598,1.708792,0.013685251
24,4055,4112,80.109592,0.82757961,1.6676815,0.012063371
24,4113,4196,82.286476,0.74549194,1.5204246,0.0092009486
24,4197,4333,78.869193,0.5472152,1.7587878,0.0086906163
24,4334,4577,79.5565,0.5643281,1.6660547,0.0084825126
24,4578,4600,80.117775,1.2583623,1.8470219,0.020536468
24,4601,5000,79.642136,0.62767905,1.6836816,0.0094492521
