bar,run_start,run_stop,nonlinear_fast_threshold,linear_fit_params[0],linear_fit_params[1],quadratic_fit_params[0],quadratic_fit_params[1],quadratic_fit_params[2],stationary_point_x,stationary_point_y
10,3501,4072,2820.7812,-17.826682,1.2290925,-7584.7755,6.5985548,-0.00095260754,3463.4175,3846.6657
10,4073,4122,2822.521,-24.073897,1.2337755,-8056.1529,6.9222527,-0.0010071715,3437.6103,3839.0471
10,4123,4224,2834.8532,-27.568804,1.2326131,-8474.0202,7.1968073,-0.0010474177,3420.9472,3832.9973
10,4225,4338,2868.4195,-30.270606,1.2321174,-9828.7934,8.0643115,-0.0011910992,3385.8534,3823.6319
10,4339,4508,3177.8191,-9.5077657,1.2569404,-93145.861,58.974704,-0.0091681351,3305.0444,4072.6151
10,4509,5000,2786.2527,-9.1082994,1.2555369,-14754.267,11.17673,-0.0042900465,3358.8088,3869.7739
11,2001,2143,2922.1917,-28.575691,1.1745529,-6275.7468,5.447767,-0.00073082591,3729.2055,3877.6562
11,2144,2232,2938.2588,-31.931159,1.1742734,-6633.2539,5.6659153,-0.0007639548,3708.4969,3872.2443
11,2233,2281,2915.6915,-24.297385,1.1743106,-6071.715,5.3201151,-0.00071089094,3740.9969,3885.2866
11,2282,2346,2882.882,-3.5628888,1.1870181,-6568.2515,5.7412732,-0.00078992904,3636.4699,3875.6473
11,2347,2389,2889.101,-1.3947418,1.1829087,-6500.0397,5.6767492,-0.00077726782,3655.7665,3885.4461
11,2390,2512,2892.4601,-5.4609227,1.1813216,-6370.3065,5.5843431,-0.00076143748,3667.9098,3872.4506
11,2513,2565,2884.0409,-3.9853003,1.184523,-6338.0159,5.5641211,-0.00075836045,3668.8591,3886.1211
11,2566,2633,2964.2361,-29.167379,1.1686363,-6924.9783,5.8209859,-0.00078466629,3709.2573,3870.874
11,2634,2711,2975.1779,-31.914437,1.1755665,-7717.2707,6.3410045,-0.00086804494,3652.7564,3862.908
11,2712,2826,2943.2745,-27.23187,1.1742091,-6847.8661,5.8091441,-0.00078719366,3690.0268,3869.4748
11,2827,3500,2923.2731,-28.223987,1.1755892,-6402.3459,5.5357403,-0.00074559357,3712.7416,3873.0357
11,3501,4072,2949.8738,-28.901859,1.1636369,-6240.7491,5.3847636,-0.00071659347,3757.3082,3876.318
11,4073,4103,2942.5821,-33.340543,1.1695671,-6507.8721,5.5693231,-0.00074744704,3725.9328,3866.7276
11,4104,4196,2959.4095,-32.610425,1.1690029,-6889.5057,5.8141919,-0.00078432139,3708.9687,3866.2784
11,4197,4224,2921.6573,-45.762887,1.1830013,-6764.5996,5.7828293,-0.00078627099,3677.3342,3863.5088
11,4225,4253,2961.2732,-45.786482,1.1753212,-7156.818,5.9764581,-0.00081064278,3686.7652,3860.0234
11,4254,4275,2961.5594,-45.914747,1.1713496,-6932.7251,5.8232106,-0.00078548014,3707.7616,3860.3891
11,4276,4332,2980.6813,-44.088974,1.1675484,-7228.1955,5.9886959,-0.00080880309,3703.0371,3858.8768
11,4333,4365,2864.958,-15.011788,1.1972494,-6555.5753,5.775307,-0.00080144575,3605.3436,3868.4434
11,4366,4411,2912.0998,-15.423526,1.1762857,-6581.4442,5.68766,-0.00077493353,3672.4806,3861.1483
11,4412,4466,2936.0525,-14.912264,1.1708883,-6852.5388,5.8253298,-0.00079226092,3675.9787,3856.7185
11,4467,4496,2892.5529,-16.327258,1.1716791,-5883.6597,5.2271122,-0.00070079329,3730.5785,3863.3182
11,4497,4521,2939.5619,-14.950654,1.1686736,-6830.4798,5.8034264,-0.00078802542,3682.5108,3856.7842
11,4522,4577,2906.4269,-18.53603,1.1703222,-6055.5364,5.3240615,-0.00071468205,3725.2228,3861.5268
11,4578,4607,2947.6721,-16.30977,1.1674309,-6909.0658,5.8430505,-0.00079312162,3695.5373,3865.2119
11,4608,5000,2904.126,-18.654561,1.1696109,-5984.6418,5.2762075,-0.00070651819,3733.7158,3863.0142
12,2001,2232,2951.7463,-21.909283,1.1752574,-7057.0851,5.9397198,-0.000806776,3683.9852,3876.9492
12,2233,2281,2931.9106,-16.496189,1.1747123,-6516.0588,5.6107693,-0.00075653644,3707.8989,3889.7727
12,2282,2347,2880.9408,-3.7899262,1.1863439,-6150.3401,5.4529548,-0.00074047752,3684.7241,3896.8368
12,2348,2378,2914.7732,2.2975636,1.1816753,-7023.9063,5.9956721,-0.00082478559,3651.3553,3891.8313
12,2379,2518,2897.8341,-3.2747564,1.1841926,-6561.4111,5.7078046,-0.00078007408,3661.6384,3883.4762
12,2519,2565,2883.6296,4.8983711,1.1816235,-6279.3924,5.5393163,-0.00075605368,3662.5458,3875.6244
12,2566,2633,2974.1062,-23.813016,1.1731405,-7564.2095,6.243427,-0.00085232206,3663.4623,3869.4711
12,2634,2656,2992.6253,-27.572632,1.1748754,-8489.9938,6.8299782,-0.00094489283,3614.8994,3852.8294
12,2657,2832,2975.6554,-21.012107,1.1734348,-7918.8641,6.4806519,-0.00089160928,3634.7218,3857.5331
12,2833,3500,2959.9811,-22.168231,1.1741477,-7347.7932,6.1280572,-0.00083742733,3659.8971,3863.7587
12,3501,4075,2951.9443,-20.463428,1.1796936,-7709.1251,6.3870071,-0.00088142842,3620.9222,3857.7327
12,4076,4264,2968.6393,-27.379858,1.1778325,-8141.2537,6.6471179,-0.00092101948,3610.6423,3847.3348
12,4265,4332,2986.5021,-27.162659,1.1770821,-8767.996,7.0357503,-0.00098155519,3585.4226,3841.2005
12,4333,4451,2885.5801,-7.8413612,1.1926395,-7115.6688,6.1184252,-0.00085351028,3587.3919,3856.2542
12,4452,5000,2887.3983,-12.584662,1.1938378,-7186.3948,6.1611156,-0.000860391,3585.6033,3853.9161
13,2001,2232,3055.6349,-16.718664,1.1494174,-8607.765,6.7744323,-0.00092051562,3680.4544,3854.8128
13,2233,2281,3024.4473,-18.296452,1.1529808,-7794.0442,6.2992187,-0.00085144438,3701.5606,3860.9587
13,2282,2307,2928.3037,-11.836818,1.1659958,-6053.0021,5.2894025,-0.00070360785,3763.1929,3889.1199
13,2308,2359,2938.7991,-13.929979,1.1673627,-6467.4446,5.5573331,-0.00074691858,3723.0175,3875.9974
13,2360,2388,2909.7669,-10.290215,1.1646462,-5734.0293,5.0911424,-0.00067326766,3785.2491,3892.5213
13,2389,2516,2955.6803,-9.7966012,1.1628396,-6746.5023,5.7208508,-0.00077099377,3711.8529,3866.5776
13,2517,2565,2941.8583,-10.208179,1.1649194,-6655.552,5.6817399,-0.00076726584,3713.4019,3868.6717
13,2566,2633,3062.7867,-22.746057,1.1508511,-8838.7302,6.9062296,-0.0009394759,3676.2672,3853.7862
13,2634,2711,3060.2491,-29.098817,1.1551704,-9152.1515,7.1150162,-0.0009734871,3654.3495,3848.5136
13,2712,3500,3044.7457,-20.368036,1.1518108,-8486.0929,6.7128869,-0.00091323104,3677.5106,3850.4371
13,3501,4082,3019.1563,-19.104166,1.1567921,-8272.2912,6.6273748,-0.00090633469,3659.2074,3846.2841
13,4083,4196,3018.275,-24.037202,1.1608814,-8413.6538,6.7169136,-0.00092023087,3649.4451,3844.9346
13,4197,4224,3031.6374,-15.50986,1.1521186,-8432.2593,6.6938326,-0.00091201613,3670.1339,3843.7756
13,4225,4332,3054.6556,-18.838135,1.1495658,-8913.5401,6.9735363,-0.00095330052,3658.2866,3840.4208
13,4333,4357,2966.4451,-16.487824,1.151064,-6588.2371,5.5852639,-0.00074748634,3742.8611,3848.7147
13,4358,4383,2965.0479,-13.117899,1.1473725,-6257.8671,5.3568884,-0.00070951245,3776.7908,3856.0967
13,4384,4472,2965.994,-17.922086,1.1491617,-6264.0383,5.359254,-0.00070952568,3778.1819,3856.7693
13,4473,4622,2986.6066,-14.736667,1.1466122,-6731.7505,5.6443038,-0.00075295614,3749.1768,3850.3974
13,4623,5000,2966.1927,-13.961381,1.1485246,-6286.9675,5.3782812,-0.00071303982,3772.1934,3855.142
14,2001,2259,3048.215,-35.412048,1.134228,-6964.4902,5.6795659,-0.00074530151,3812.0048,3856.3016
14,2260,2281,3005.0177,-35.385233,1.1370896,-5908.3572,5.0435532,-0.0006498362,3882.6941,3878.3616
14,2282,2364,2918.343,-20.759602,1.1478952,-4898.4417,4.4856725,-0.00057119179,3933.2115,3913.3606
14,2365,2565,2950.8456,-15.448551,1.1428265,-5437.3282,4.8140855,-0.00062156827,3877.4819,3888.2035
14,2566,2634,3044.0716,-41.444126,1.1373497,-6887.1651,5.635196,-0.00073870091,3815.0039,3860.1551
14,2635,2656,3067.9771,-43.370172,1.140871,-8027.3782,6.345477,-0.00084816059,3741.4349,3841.3713
14,2657,3500,3036.746,-39.349721,1.1402381,-6981.4493,5.7116207,-0.00075307395,3793.2697,3849.0161
14,3501,4073,2991.7287,-38.445118,1.1547368,-7026.8687,5.8080383,-0.00077508977,3753.8133,3849.8485
14,4074,4196,2966.4564,-43.232413,1.1710196,-7427.5862,6.1541767,-0.00084057468,3656.5699,3836.6155
14,4197,4224,3006.2669,-39.847492,1.1456075,-6830.1831,5.6609456,-0.00075059536,3772.2578,3844.9666
14,4225,4332,3042.7523,-40.410729,1.1447653,-7949.8972,6.3440113,-0.00085440475,3713.2457,3826.9904
14,4333,4358,2883.7536,-20.90701,1.1621806,-5202.1359,4.7509464,-0.00062215534,3826.1475,3882.125
14,4359,5000,2917.0664,-21.875797,1.1600969,-5922.049,5.2028587,-0.00069259887,3759.5586,3855.1728
15,2001,2232,2819.2836,-39.405892,1.2127691,-6339.7901,5.6826198,-0.00079267415,3585.0736,3844.9382
15,2233,2289,2806.1827,-33.287299,1.2149741,-6208.5654,5.6087455,-0.00078267589,3581.6549,3858.0099
15,2290,2360,2998.2941,-15.086708,1.2251757,-47526.611,30.347206,-0.006120396,3451.6532,3960.2451
15,2361,2499,2819.464,-9.5843517,1.2094854,-6768.9588,6.0011006,-0.00084958528,3535.6433,3852.6591
15,2500,2565,2904.4959,-8.669496,1.2078335,-22627.477,15.349634,-0.0040182323,3523.7143,3924.261
15,2566,2609,2846.5863,-38.89635,1.1985208,-6190.0866,5.5196615,-0.00075889602,3637.5181,3846.7643
15,2610,2632,2820.7003,-40.696524,1.2025458,-5843.5351,5.3174865,-0.00072890373,3649.5245,3853.6424
15,2633,2656,2878.6581,-41.331895,1.2041789,-7452.3102,6.3528874,-0.00089418488,3552.3908,3831.7462
15,2657,2830,2836.1909,-33.665911,1.2048391,-6472.36,5.744478,-0.00080019442,3590.7719,3838.3741
15,2831,3500,2803.2195,-36.929616,1.2074268,-5794.9992,5.3162159,-0.00073287258,3627.296,3845.8853
15,3501,4074,2803.3216,-26.95577,1.2119155,-6237.6895,5.6147464,-0.00078399089,3586.8867,3842.7585
15,4075,4196,2794.568,-34.829916,1.2186624,-6215.7133,5.64105,-0.00079227354,3558.6655,3835.1684
15,4197,4224,2921.9216,-31.321635,1.1576973,-5904.0128,5.17857,-0.00068818662,3761.5801,3836.951
15,4225,4333,2963.4583,-31.554157,1.1574497,-6927.9306,5.8098746,-0.00078473644,3701.2651,3826.045
15,4334,4476,2866.0574,-6.4778265,1.1861081,-6897.2609,5.9925241,-0.00083832822,3575.7795,3818.2276
15,4477,4514,2840.6728,-12.810196,1.1897089,-6319.8879,5.6305197,-0.00078184126,3601.9344,3822.2295
15,4515,5000,2855.8008,-8.1374437,1.1867602,-6591.6613,5.7968508,-0.0008070142,3595.9265,3820.8453
16,2001,2258,3118.5567,-21.010835,1.1224721,-8108.0916,6.313221,-0.00083170589,3798.7945,3865.452
16,2259,2281,3049.7374,-32.080958,1.1196167,-5540.0984,4.7217933,-0.00059171605,3996.2403,3921.6173
16,2282,2565,2901.5249,-16.051602,1.1691822,-5283.2426,4.7974883,-0.00062473546,3843.2945,3927.4496
16,2566,2633,2975.3264,-41.120549,1.1594025,-6054.2125,5.2013806,-0.00067914819,3830.5607,3904.9658
16,2634,2725,3054.4975,-39.655426,1.1519045,-8077.1801,6.4136291,-0.00086115765,3723.6603,3863.4252
16,2726,3500,2980.4946,-37.133615,1.1542689,-6299.3438,5.3576638,-0.00070453718,3805.9837,3884.7647
16,3501,4072,2966.6262,-41.164815,1.1490953,-5662.3111,4.9415444,-0.00063970996,3861.0724,3902.916
16,4073,4196,3023.148,-35.353518,1.1369502,-6281.637,5.2667762,-0.00068147998,3864.4996,3877.5295
16,4197,4224,3325.238,-30.553722,1.0455467,-7901.1986,5.7902896,-0.0007132275,4068.6689,3845.3035
16,4225,4332,3456.0636,-32.405224,1.0249768,-9986.4092,6.7933498,-0.00083556058,4072.4158,3827.0072
16,4333,5000,3256.0833,-12.759163,1.051873,-6507.0806,5.0409298,-0.00061250097,4115.9578,3865.8857
17,2001,2200,2929.0765,-26.382027,1.1721747,-6596.5336,5.6584859,-0.0007657354,3694.7538,3856.0979
17,2201,2281,2863.417,-30.419797,1.189201,-5824.7773,5.2339538,-0.0007064239,3707.0274,3873.1689
17,2282,2320,2694.5823,-29.44684,1.2507027,-5517.0428,5.3199047,-0.00075404197,3529.4124,3872.2001
17,2321,2363,2696.5868,-23.334071,1.2436654,-5245.6756,5.113541,-0.0007166915,3568.8054,3897.1355
17,2364,2394,2729.5643,-21.792568,1.2240452,-5027.8077,4.8871712,-0.00067019072,3651.0277,3893.5477
17,2395,2510,2731.1063,-30.299679,1.2281636,-5181.642,5.0004998,-0.00069043347,3621.9765,3873.0614
17,2511,2565,2721.187,-22.790299,1.2283612,-5075.2002,4.9289911,-0.00067819189,3646.1445,3904.6618
17,2566,2633,2815.9437,-45.666602,1.2133811,-5941.5703,5.4006011,-0.00074346129,3631.5932,3866.0244
17,2634,2711,2882.7539,-47.161485,1.203281,-7077.6636,6.0806364,-0.00084595051,3592.8834,3849.0704
17,2712,3500,2790.4246,-41.930371,1.2155874,-5909.067,5.4456748,-0.00075793361,3607.8153,3857.3087
17,3501,4049,2804.9775,-42.779644,1.1955234,-5043.9787,4.7725126,-0.00063916916,3735.3684,3868.7872
17,4050,4196,2810.271,-44.334187,1.2034817,-5607.6084,5.1573417,-0.00070403039,3664.2741,3852.23
17,4197,4225,2968.0507,-45.184523,1.1352363,-5364.3164,4.7201062,-0.00060369074,3912.3471,3860.5317
17,4226,4332,3026.2265,-47.003145,1.1342111,-6529.7149,5.4183995,-0.00070781412,3826.6365,3839.0522
17,4333,4493,2905.3717,-22.426821,1.1509683,-5289.5148,4.7745635,-0.00062329696,3831.5588,3854.3434
17,4494,5000,2896.706,-28.032882,1.1522103,-5112.1563,4.6618632,-0.00060569351,3848.6601,3859.1879
18,2001,2200,3043.9842,-36.792257,1.1408754,-6895.929,5.6483067,-0.00074045265,3815.0948,3875.9974
18,2201,2280,3006.6867,-29.833506,1.1470017,-6479.5122,5.4449039,-0.00071546736,3806.8741,3883.2073
18,2281,2357,2984.7413,-1.5351426,1.1533678,-6896.4872,5.7729302,-0.00077371915,3731.5004,3872.3168
