bar,run_start,run_stop,nonlinear_fast_threshold,linear_fit_params[0],linear_fit_params[1],quadratic_fit_params[0],quadratic_fit_params[1],quadratic_fit_params[2],stationary_point_x,stationary_point_y
11,2513,2565,3085.3566,-25.191212,1.1046886,-6215.5466,5.1174211,-0.00065028667,3934.7425,3852.3206
11,2566,2626,3095.921,-63.260533,1.111366,-6124.0482,5.0267033,-0.00063233805,3974.6962,3865.7612
11,2627,2830,3130.4549,-62.006132,1.0994499,-6241.102,5.0471801,-0.00063053619,4002.2922,3859.0428
11,2831,3500,3136.8504,-59.527113,1.0913926,-6055.6165,4.9143925,-0.00060936919,4032.3605,3852.6848
11,3501,4087,3054.521,-66.159592,1.1283357,-6776.703,5.522179,-0.00071923607,3838.9197,3822.898
11,4088,4196,3039.8549,-70.884406,1.1387576,-6744.5806,5.5295568,-0.00072220539,3828.2439,3839.6654
11,4197,4285,3389.2051,-63.972413,0.99788338,-5138.3146,3.9922978,-0.00044175763,4518.6518,3881.587
11,4286,4333,3089.6577,-71.59971,1.1308325,-7656.7768,6.0408762,-0.00079459349,3801.2369,3824.624
11,4334,4357,3046.0079,-32.479782,1.1309051,-7172.9029,5.8192863,-0.00076959438,3780.749,3827.7275
11,4358,4392,3012.7007,-34.076443,1.1330599,-6373.5526,5.3415603,-0.00069845976,3823.814,3839.0138
11,4393,4549,3044.4593,-35.594421,1.1347602,-7389.2569,5.9656098,-0.00079338384,3759.5987,3824.8926
11,4550,4569,3068.0281,-38.73589,1.1355825,-8266.7378,6.4992896,-0.0008741294,3717.5786,3814.0722
11,4570,5000,3050.9168,-37.880749,1.1276974,-6986.1902,5.6825966,-0.00074648041,3806.2597,3828.5292
12,2001,2237,3132.9797,-56.507059,1.1410033,-8774.3012,6.7061809,-0.00088816049,3775.3204,3884.6896
12,2238,2281,3162.739,-51.199655,1.1275551,-8631.0462,6.553135,-0.00085773437,3820.0259,3885.5266
12,2282,2358,3211.1758,-5.1338566,1.1142253,-11098.954,8.0237319,-0.0010758531,3729.0091,3861.3309
12,2359,2379,3343.8604,4.6722915,1.0690059,-10875.022,7.5762717,-0.00097301697,3893.1858,3872.8947
12,2380,2565,3379.331,0.54562156,1.0591409,-11199.206,7.6875252,-0.00098072434,3919.3099,3865.6903
12,2566,2645,3354.5877,-44.746284,1.0712537,-10112.154,7.0734266,-0.00089462155,3953.3066,3869.5582
12,2646,3500,3364.616,-41.171,1.0679002,-10462.404,7.2625045,-0.00092055144,3944.6489,3861.6119
12,3501,4049,3189.8499,-45.223895,1.1171936,-8621.9207,6.4946861,-0.00084290682,3852.5528,3888.6398
12,4050,4131,3157.9662,-64.648426,1.1381138,-9536.2638,7.1366678,-0.00094974957,3757.1314,3870.4355
12,4132,4287,3167.493,-62.8264,1.1403249,-10616.317,7.8039486,-0.0010518766,3709.5361,3858.1975
12,4288,4332,3183.8571,-63.067677,1.1399255,-11928.517,8.5934318,-0.0011705152,3670.7903,3843.8261
12,4333,4403,3123.5193,-8.5904727,1.1316441,-9073.6953,6.9360614,-0.00092914703,3732.4886,3870.6899
12,4404,4599,3145.1387,-9.9040634,1.1299304,-10075.682,7.530779,-0.0010175781,3700.3444,3857.5556
12,4600,5000,3166.2911,-9.6514861,1.1293298,-11241.451,8.2239393,-0.0011203344,3670.3057,3850.7349
13,2001,2259,3268.7026,-44.258773,1.0916404,-9375.5391,6.8011108,-0.00087335423,3893.6725,3865.1101
13,2260,2281,3226.3368,-55.235815,1.0969027,-7880.3832,5.9476965,-0.00075174944,3955.9035,3883.8734
13,2282,2308,3362.0292,-15.707244,1.0519358,-8860.8201,6.3137061,-0.00078252894,4034.1678,3874.4549
13,2309,2331,3284.6996,-16.620724,1.0647924,-7630.5619,5.700797,-0.0007056969,4039.1257,3882.556
13,2332,2352,3319.8764,-17.300244,1.0685637,-9671.9785,6.8848515,-0.00087597957,3929.8014,3856.0711
13,2353,2374,3239.3992,-18.523843,1.073462,-7106.5471,5.4495965,-0.00067545466,4034.021,3885.3463
13,2375,2515,3278.1192,-19.069846,1.0716759,-7985.2337,5.9318798,-0.00074130982,4000.9451,3881.3292
13,2516,2565,3248.1528,-15.809815,1.0700592,-6842.1387,5.2732659,-0.00064701493,4075.0728,3902.3327
13,2566,2633,3289.7282,-60.257869,1.0807283,-8395.8266,6.148362,-0.00077022074,3991.2986,3874.1479
13,2634,3500,3242.3263,-60.175325,1.096551,-8529.1386,6.3205554,-0.0008055951,3922.9108,3868.3487
13,3501,4056,3291.5251,-57.862919,1.0774063,-8026.8582,5.9195357,-0.00073554495,4023.9116,3882.9858
13,4057,4196,3729.9027,-62.133638,0.98099056,-12014.927,7.3901624,-0.00085916074,4300.8031,3876.8896
13,4197,4332,3209.6373,-61.286438,1.1153381,-9999.7367,7.3082186,-0.00096473214,3787.6932,3840.9082
13,4333,4495,3151.99,-16.586731,1.1096736,-8169.9114,6.2831195,-0.00082066344,3828.0732,3856.2092
13,4496,4568,3162.6531,-16.640464,1.1093868,-8512.7182,6.4821403,-0.00084940606,3815.6899,3854.2004
13,4569,4601,3119.8626,-17.766542,1.1085248,-6848.9637,5.4876902,-0.00070182022,3909.6125,3878.4073
