*Tele EF EB theta(degree) phi(degree)
   0 21 25       33.3892     168.164
   0 21 26       33.4531     167.542
   0 21 27       33.5200     166.924
   0 21 28       33.5899     166.308
   0 21 29       33.6628     165.694
   0 21 30       33.7387     165.084
   0 21 31       33.8174     164.477
   0 22  0       33.1812     184.077
   0 22  1       33.1647     183.445
   0 22  2       33.1513     182.813
   0 22  3       33.1411     182.179
   0 22  4       33.1341     181.544
   0 22  5       33.1303     180.908
   0 22  6       33.1298     180.272
   0 22  7       33.1325     179.635
   0 22  8       33.1385     178.998
   0 22  9       33.1476     178.361
   0 22 10       33.1601     177.724
   0 22 11       33.1758     177.087
   0 22 12       33.1947     176.451
   0 22 13       33.2169     175.815
   0 22 14       33.2423     175.179
   0 22 15       33.2709     174.545
   0 22 16       33.3028     173.911
   0 22 17       33.3379     173.279
   0 22 18       33.3762     172.648
   0 22 19       33.4176     172.018
   0 22 20       33.4622     171.390
   0 22 21       33.5100     170.763
   0 22 22       33.5609     170.138
   0 22 23       33.6149     169.516
   0 22 24       33.6720     168.895
   0 22 25       33.7321     168.277
   0 22 26       33.7953     167.661
   0 22 27       33.8615     167.048
   0 22 28       33.9306     166.437
   0 22 29       34.0027     165.829
   0 22 30       34.0777     165.224
   0 22 31       34.1555     164.622
   0 23  0       33.5280     184.042
   0 23  1       33.5118     183.416
   0 23  2       33.4987     182.789
   0 23  3       33.4888     182.161
   0 23  4       33.4820     181.532
   0 23  5       33.4785     180.903
   0 23  6       33.4781     180.273
   0 23  7       33.4809     179.642
   0 23  8       33.4869     179.011
   0 23  9       33.4961     178.380
   0 23 10       33.5085     177.749
   0 23 11       33.5241     177.118
   0 23 12       33.5429     176.488
   0 23 13       33.5650     175.857
   0 23 14       33.5902     175.228
   0 23 15       33.6186     174.599
   0 23 16       33.6502     173.972
   0 23 17       33.6849     173.345
   0 23 18       33.7228     172.720
   0 23 19       33.7638     172.096
   0 23 20       33.8080     171.473
   0 23 21       33.8553     170.852
   0 23 22       33.9056     170.233
   0 23 23       33.9591     169.616
   0 23 24       34.0155     169.001
   0 23 25       34.0750     168.388
   0 23 26       34.1375     167.778
